requirement_id,type,priority,domain,chapter,section,page,short_substance,owner,implementation_status,verification_status,production_readiness,pilot_blocking,production_blocking,full_srs_blocking,repo_evidence,test_evidence,evidence_basis,governance_dependency,design_dependency,runtime_dependency,external_dependency,workstream,recommended_lane,merge_wave,can_start_now,blocking_reason,schema_change_expected,migration_expected,notes,delta_from_p0,delta_reason
CT-07,CT,M,Critical Test Scenarios,28,28.3,157,Recipe expansion with 5- | Depletion matches manual level sub-recipes and | calculation exactly modifiers,SHARED,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,5-level sub-recipe expansion + modifiers is implemented and exercised at depth 2 in tests; the SRS demands a 5-level scenario proven against manual calculation,test/order-completion.e2e-spec.ts; recipe-graph.spec.ts,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,MAYBE,MAYBE,,UNCHANGED,
CT-08,CT,M,Critical Test Scenarios,28,28.3,157,Stock count during active | Variance excludes trading | concurrent sales,SHARED,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,"CountsService.post subtracts an exact window-sum of stock_movements committed during the count session from the persisted variance (CT-08/FR-INV-044), closing the false-shrinkage gap the prior baseline flagged as ""actively unsafe""; MovementsService.post no longer performs the unlocked stock_levels pre-read/lost-update the prior baseline cited.","test/inventory-concurrency-matrix.e2e-spec.ts — 17/17, explicitly including ""CT-08 both directions""; targeted rerun this session (MW1F §5.7), 10 suites/119 tests, 0 failures",DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,"A1-4 (fix(inventory): close concurrent movement races, 2743e6a) closed this exact scenario and named it explicitly in its own report. Verified this session as part of the targeted Inventory/A1-3 gate rerun.",CHANGED,"Prior baseline predates A1-4 (which post-dates the P0 fork point). A1-4 report + inventory-concurrency-matrix.e2e-spec.ts directly implement and test the literal CT-08 scenario (stock count variance excludes movements from concurrent sales during the count session), reconfirmed green this session. [Blocking flags corrected to reflect COMPLETE/VERIFIED-PASSING status: READY/NO/NO/NO.]"
CT-09,CT,M,Critical Test Scenarios,28,28.3,157,Fiscal submission with | All documents submitted on,SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,"no fiscal submission path, no TaxDocument, no outbox",none,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,,UNCHANGED,
CT-10,CT,M,Critical Test Scenarios,28,28.3,158,Device clock set 3 hours | HLC ordering preserved; ahead | skew alerted; original timestamps retained,SHARED,PARTIAL,PARTIALLY VERIFIED,NOT READY,NO,NO,YES,HLC parsing/comparison (src/modules/sync/hlc/hlc.ts) and causal scheduling by string-ordered HLC exist (operation-scheduler.ts); SyncBatchService.process -> DeviceStateService.recordBatch computes and returns clockSkewMs / clockSkewExceededThreshold per FR-OFF-042 in every batch response.,"sync-protocol.e2e-spec.ts, sync-performance.e2e-spec.ts (clock-skew assertions), operation-scheduler.spec.ts — part of the green targeted Sync run this session (MW1F §5.8, 11 suites/90 tests)",DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,"HLC ordering-preservation and skew DETECTION are implemented and tested. ""Skew alerted"" in the full SRS operational sense (an operator-facing alert, not just an API response field) is not proven — no NFR-OBS-006 alert rule covers sync clock skew specifically. Original device timestamp retention alongside HLC was not independently re-verified this session.",CHANGED,"Prior baseline predates D4-1A/D4-1B entirely (""no HLC, no device clock skew handling"" — now false). D4-1A implemented HLC + FR-OFF-042 clock-skew detection/reporting; capped at PARTIAL because the requirement's ""skew alerted"" clause is not proven as an operator-facing alert, only as an API response field."
CT-11,CT,M,Critical Test Scenarios,28,28.3,158,Multi-currency consolidated | Rates displayed; totals report | reconcile to source,SHARED,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,reporting-currency suite exists for a single-currency branch; no multi-currency consolidated report,test/reporting-currency.e2e-spec.ts,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,MAYBE,MAYBE,,UNCHANGED,
CT-12,CT,M,Critical Test Scenarios,28,28.3,158,Money allocation across split | Sum of parts exactly equals bills | whole in all cases,SHARED,PARTIAL,UNVERIFIED,NOT READY,NO,NO,YES,Money.allocate is exact and unit-tested; split bills do not exist so the scenario cannot be run end to end,src/common/money/*.spec.ts,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,MAYBE,MAYBE,,UNCHANGED,
CT-13,CT,M,Critical Test Scenarios,28,28.3,158,Loyalty double-redemption | Detected on sync; policy attempt from two offline | applied; ledger consistent terminals,SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,no loyalty domain,none,DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,,UNCHANGED,
CT-14,CT,M,Critical Test Scenarios,28,28.3,158,"Sync backlog of 20,000 | Completes; no timeout; no operations after extended | memory exhaustion outage",SHARED,PARTIAL,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,"Sync batch processing is chunked (SYNC_DEFAULT_CHUNK_SIZE) with lease renewal across chunks specifically so a long-running batch's lease cannot expire underneath it, and dedup/idempotency is durable across retries — mechanisms directly relevant to backlog draining. No test exercises a 20,000-operation backlog or an ""extended outage"" scenario at that scale.","sync-contention.e2e-spec.ts, sync-performance.e2e-spec.ts test at much smaller batch/operation counts than 20,000; no dedicated backlog-scale suite exists",DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,"The literal 20,000-operation/no-timeout/no-memory-exhaustion claim is untested at scale. Mechanism exists in principle; scale claim is not evidenced.",CHANGED,"Status raised from NOT IMPLEMENTED to PARTIAL because ""no sync backlog"" (prior evidence) is no longer true — a real chunked/lease-renewed/dedup backlog-processing mechanism exists (D4-1A). Verification stays NOT YET VERIFIABLE because the specific 20,000-operation/extended-outage scale was never exercised by any integrated test."
CT-15,CT,M,Critical Test Scenarios,28,28.3,158,"Arabic receipt printing across | Correct joining, ordering, and the printer matrix | no truncation",SHARED,NOT IMPLEMENTED,NOT YET VERIFIABLE,NOT READY,NO,NO,YES,no printer path; receipt is a JSON payload only,test/receipt.e2e-spec.ts (payload only),DIRECT,,,,,P19-FULLQA,G,FINAL,YES,,NO,NO,,UNCHANGED,
FR-API-001,FR,M,API Platform,26,26.2,149,Error responses SHALL use a stable machine-readable code in addition to the human-readable title and detail.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,common/openapi error envelope + sales-domain-exception.filter.ts stable codes,test/openapi.e2e-spec.ts,MODULE,,,,,P4-PLT,B,2,YES,,NO,NO,,UNCHANGED,
FR-API-002,FR,M,API Platform,26,26.2,149,Error messages SHALL be localised per the request’s Accept-Language header.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,NO,YES,no Accept-Language handling on error responses,none,DIRECT,,,,,P4-PLT,B,2,YES,,YES,YES,,UNCHANGED,
FR-API-003,FR,M,API Platform,26,26.2,150,"Error responses SHALL NOT leak internal details: stack traces, SQL, internal hostnames, or other tenants’ data.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,domain exception filter maps to typed envelopes; RLS invisibility yields 404 not 403; B1-3 acceptance correction extends byte-identical-404 proof to scope (not just tenant) boundaries across order/station/price-list/branch-filter resource targets,"test/openapi.e2e-spec.ts; cross-tenant 404 assertions; scoped-authorization-matrix.e2e-spec.ts (byte-identical 404 foreign-vs-non-existent, this session 6 suites/121 tests green)",MODULE,,,,,P4-PLT,B,2,YES,,NO,NO,"Strengthened, not newly complete: B1-3 acceptance correction proved byte-identical 404 (no leak of resource existence) across tenant AND scope boundaries (foreign vs non-existent, 4 surfaces).",CHANGED,"B1-3 acceptance correction (2026-09-02_B1-3_scoped-rbac-acceptance-correction.md) proved byte-identical 404s for foreign-vs-non-existent across 4 scope-resolution surfaces, extending the existing tenant-RLS 404 pattern this row already credited. Status unchanged (already COMPLETE); evidence strengthened."
FR-API-010,FR,M,API Platform,26,26.4,151,"Interactive clients SHALL authenticate using short-lived access tokens (15 minutes) with refresh tokens (30 days, rotating on use).",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,access-token.service.ts short-lived JWT + sessions/refresh-token.ts rotating refresh,test/auth.e2e-spec.ts; test/refresh.e2e-spec.ts,DIRECT,,,,,P4-PLT,B,2,YES,,NO,NO,,UNCHANGED,
FR-API-011,FR,M,API Platform,26,26.4,151,Machine clients SHALL authenticate using OAuth 2.0 client credentials or scoped API keys.,BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,YES,YES,"no ApiKey model, no OAuth client-credentials flow",none,DIRECT,,,,,P4-PLT,B,2,YES,,YES,YES,,UNCHANGED,
FR-API-012,FR,M,API Platform,26,26.4,151,"Tokens SHALL carry: subject, tenant, scope set, and permitted branch set. Every request SHALL be authorised against both the permission and the scope.",BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,B1-2 T-4-LIVE token carries scp (scope type)/pbr (permitted-branch symbolic set)/epo (scope epoch) claims; B1-3 PermissionGuard is the single enforcement point deciding permission AND target scope on every route via the unchanged B1-2 primitive; claims never authorize on their own — live server-side resolution against the DB is authoritative per T-4-LIVE,"scoped-authorization-matrix.e2e-spec.ts (34/34 per B1-3 acceptance-correction report); this session: scoped-rbac/scoped-rbac-migration/scoped-authorization-matrix/rbac/kds-authorization/reporting-authorization — 6 suites/121 tests, 0 failures",DIRECT,"D-2 AMENDMENT REOPENED IN PART (2): BRANCH-SCOPED RBAC — RATIFIED 2026-09-02 (GOVERNANCE_DECISION_REGISTER.md), explicitly lifting the defer on ""the branch/scope authorization portions of FR-API-012""",,,,P4-PLT,B,2,YES,,MAYBE,MAYBE,,CHANGED,"Governance register's D-2 amendment (RATIFIED 2026-09-02) explicitly names ""the branch/scope authorization portions of FR-API-012"" as defer-lifted. B1-2 implemented the scp/pbr/epo token claims; B1-3 made every permission-bearing route check permission AND target scope via PermissionGuard, proven by the coverage gate (159 routes, 142/142 permission-bearing declared, 0 undeclared, 17 reviewed exemptions — authorization-coverage.spec.ts, 9/9, measured live this session) and the cross-branch matrix suite. Upgraded from PARTIAL (prior: ""carries NO scope set and NO permitted branch set"")."
FR-API-013,FR,M,API Platform,26,26.4,152,Refresh token rotation SHALL detect reuse of a consumed refresh token and SHALL revoke the entire token family on detection.,BACKEND,COMPLETE,VERIFIED-PASSING,READY,NO,NO,NO,auth.service refresh reuse detection revokes the token family,test/refresh.e2e-spec.ts; auth.service.refresh.spec.ts,DIRECT,,,,,P4-PLT,B,2,YES,,NO,NO,,UNCHANGED,
FR-API-014,FR,M,API Platform,26,26.4,152,"API keys SHALL be displayed exactly once at creation, stored as a hash, and identifiable thereafter only by a non-secret prefix.",BACKEND,NOT IMPLEMENTED,UNVERIFIED,NOT READY,NO,YES,YES,"no ApiKey model, no OAuth client-credentials flow",none,DIRECT,,,,,P4-PLT,B,2,YES,,YES,YES,,UNCHANGED,
