priority,workstream,slice_id,slice_name,requirement_ids,owner,lane,current_status,dependency,can_start_now,schema_change,migration,estimated_collision_risk,size,parallelizability,pilot_blocker,production_blocker,full_srs_blocker,merge_wave,acceptance_test,notes
1,P3-PROD,G1-3,"Observability baseline: structured JSON logs, correlation propagation, RED metrics",NFR-OBS-001; NFR-OBS-003; NFR-OBS-005; FR-API-001,BACKEND,G,PARTIAL — correlation/causation exist only inside the domain-event and audit substrate,none,YES,NO,NO,"MEDIUM (main.ts, app.module.ts)",M,HIGH,NO,YES,YES,1,"Every request emits one JSON log line carrying tenant, branch, correlation and causation; /metrics exposes RED per handler",Prerequisite for proving any measurable NFR
2,P4-PLT,B2-1,"Audit read surface: query, filter, export, access auditing",FR-AUD-007; FR-AUD-008; FR-AUD-010,BACKEND,B,NOT IMPLEMENTED,G1-1,YES,MAYBE,MAYBE,MEDIUM,M,HIGH,NO,YES,YES,2,Audit search by actor/entity/action/date/branch/correlation with export logged,
2,P4-PLT,B2-2,Audit chain verification job + alerting,FR-AUD-005; FR-AUD-009; CR-08,BACKEND,B,"NOT IMPLEMENTED — verifier exists, scheduler does not",scheduler,YES,NO,NO,LOW,S,HIGH,YES,YES,YES,2,Scheduled verification detects an injected chain break and raises an alert,Introduces the first scheduler; coordinate with B2-3
2,P4-PLT,B2-3,Scheduler / job runner + transactional outbox,FR-PLT-041 (DANGLING REF); FR-FIN-026; FR-AUD-005; FR-DR-002; FR-SEC-061,BACKEND,B,NOT IMPLEMENTED,D1-1 contract decisions,YES,YES,YES,HIGH (shared infrastructure claimed by 6 workstreams),L,LOW,NO,YES,YES,2,An event published in a transaction is delivered exactly once after commit,SRS SOURCE-INTEGRITY GAP: FR-PLT-041 is referenced at p. and never defined
2,P4-PLT,B2-4,"Per-tenant rate limiting, statement timeouts, read replica pool",FR-PLT-015; FR-PLT-016; FR-PLT-017; NFR-PERF-030; NFR-PERF-031,INFRA/DEVOPS,B,NOT IMPLEMENTED,G1-3,YES,NO,NO,LOW,M,HIGH,NO,YES,YES,2,A heavy report cannot exhaust the transactional pool,
2,P4-PLT,B2-5,Machine clients: API keys and scopes,FR-API-011; FR-API-014; FR-SEC-024,BACKEND,B,NOT IMPLEMENTED,B1-2,NO,YES,YES,"MEDIUM (identity schema, shared with B1-2)",M,MEDIUM,NO,YES,YES,2,"Key shown once, stored hashed, identified by prefix",MUST NOT run concurrently with B1-2 — same identity migration surface
2,P6-POS,C2-1,"Discounts, comps and approval thresholds",FR-POS-045..051; FR-SEC-030; FR-SEC-031,BACKEND,C,NOT IMPLEMENTED — columns exist and are always zero,"B1-2, governance for FR-SEC-032",MAYBE,YES,YES,"HIGH (sales schema, shared with C2-2/C2-3)",L,LOW,NO,YES,YES,2,"Line and order discounts with reason, threshold approval and full audit",First real consumer of the governance approval runtime
2,P6-POS,C2-2,"Voids, cancellations and refunds",FR-POS-070..075; CR-04; FR-KDS-029,BACKEND,C,PARTIAL — pre-fire line void only,"C2-1, A1-1 (stock return path)",MAYBE,YES,YES,HIGH,L,LOW,YES,YES,YES,2,"Post-fire void with disposition, refund bounded by the original amount in aggregate, compensating entries only",
2,P6-POS,C2-3,"Split payment, bill splitting and cash rounding",FR-POS-061; FR-POS-062; FR-POS-063; CT-12,BACKEND,C,NOT IMPLEMENTED,C2-1,MAYBE,YES,YES,HIGH,L,LOW,NO,YES,YES,2,Money.allocate exactness across every split shape; pack cash-rounding applied at payment,
2,P6-POS,C2-4,"Service charge, tips and tip pooling",FR-POS-055..058; FR-FIN-004,BACKEND,C,NOT IMPLEMENTED — columns always zero,C2-1,MAYBE,YES,YES,MEDIUM,M,MEDIUM,NO,YES,YES,2,Pack rule on service-charge taxability applied correctly,
2,P6-POS,C2-5,"Table lifecycle: state, transfer, merge, split",FR-POS-080..084; FR-RPT-033,SHARED,C,NOT IMPLEMENTED — org.tables is a registry only,B1-2,MAYBE,YES,YES,MEDIUM,M,MEDIUM,NO,NO,YES,2,Table state transitions with audit; floor plan rendering is FRONTEND-EXTERNAL,
2,P6-POS,C2-6,"Order capture completion: park/resume, seats, courses, combos, open price",FR-POS-004; FR-POS-005; FR-POS-006; FR-POS-015; FR-POS-016; FR-POS-030..032; FR-POS-036; FR-POS-037,BACKEND,C,NOT IMPLEMENTED,none,YES,YES,YES,HIGH (sales schema),L,MEDIUM,NO,NO,YES,2,"Each capture mode round-trips through fire, payment and completion",
2,P9-KDS,D2-1,KDS realtime delivery transport,FR-KDS-020; NFR-PERF-004,SHARED,D,NOT IMPLEMENTED — no websocket/SSE anywhere,D1-1,YES,NO,NO,MEDIUM,M,MEDIUM,NO,YES,YES,2,Fired order appears on the station display within 1 s p95 on LAN,
2,P9-KDS,D2-2,"KDS display semantics: colour coding, sort orders, priority, all-day counts, expediter",FR-KDS-012; FR-KDS-013; FR-KDS-022; FR-KDS-023; FR-KDS-027; FR-KDS-030,SHARED,D,NOT IMPLEMENTED,D2-1,YES,MAYBE,MAYBE,LOW,M,HIGH,NO,NO,YES,2,Payload carries every field the client needs to render each mode,
2,P9-KDS,D2-3,KDS timing analytics,FR-KDS-041; FR-KDS-042; FR-KDS-043; FR-KDS-045,BACKEND,D,"NOT IMPLEMENTED — timestamps captured, never aggregated",P14-RPT substrate,YES,NO,NO,LOW,M,HIGH,NO,NO,YES,2,Prep time by item/station/hour/employee/order type; bottleneck station per hour,
2,P8-COST,E2-1,"Inventory completion: expiry jobs, valuation reporting, reorder generation",FR-INV-040..047; FR-INV-060..065; NFR-PERF-005,BACKEND,E,PARTIAL,"A1-1, B2-3",MAYBE,MAYBE,MAYBE,MEDIUM,L,MEDIUM,NO,YES,YES,2,"Expiry alerting, valuation report at 3,000 items within 500 ms p95",
2,P8-COST,E2-2,Costing: theoretical vs actual usage and variance,FR-CST-010..017; UC-CST-01,BACKEND,E,NOT IMPLEMENTED,A1-1,YES,YES,YES,MEDIUM,L,MEDIUM,NO,NO,YES,2,Theoretical usage from recipes reconciles against actual movements,
2,P11-HR,F2-1,Employee record completion + branch assignment + employment terms,FR-HRM-001..006; FR-SEC-021,BACKEND,F,PARTIAL — Employee/EmployeeBranch exist,B1-2,NO,YES,YES,MEDIUM (identity/workforce schema),M,MEDIUM,NO,NO,YES,2,Full employee aggregate with permitted branches and home branch,Shares the identity migration surface with B1-2 and B2-5
2,P11-HR,F2-2,"Scheduling, staffing rules, swaps",FR-HRM-010..017,BACKEND,F,NOT IMPLEMENTED,F2-1,NO,YES,YES,LOW,L,HIGH,NO,NO,YES,2,Schedule publication with staffing-rule validation,
2,P11-HR,F2-3,"Attendance, breaks, adjustments, leave, overtime",FR-HRM-020..027,BACKEND,F,NOT IMPLEMENTED,F2-1,NO,YES,YES,LOW,L,HIGH,NO,NO,YES,2,Clock-in/out against schedule with adjustment audit,
3,P7-FISCAL,C3-1,TaxDocument aggregate + fiscal outbox,IR-LOC-EG-001..004; IR-LOC-SA-001..005; IR-LOC-AE-001..004; FR-FIN-026; CT-09,BACKEND,C,NOT IMPLEMENTED — fiscal schema holds only TaxClass,"B2-3, C2-1..C2-3",YES,YES,YES,HIGH (new fiscal schema),XL,LOW,NO,YES,YES,3,"Authority downtime for 6 hours: all documents submitted on recovery, nothing lost",Submission itself is EXTERNAL-PROVIDER blocked pending authority sandbox credentials
3,P7-FISCAL,C3-2,"Fiscal receipt, templates, bilingual layout, digital delivery, printing",FR-POS-100..106; CT-15; NFR-PORT-006,SHARED,C,PARTIAL — non-fiscal JSON payload only,C3-1,YES,MAYBE,MAYBE,MEDIUM,L,MEDIUM,NO,YES,YES,3,Arabic receipt printing across the printer matrix with correct joining and ordering,Printer matrix is EXTERNAL-PROVIDER
3,P7-FISCAL,C3-3,Expenses and petty cash,FR-FIN-015..018; FR-POS-091,BACKEND,C,NOT IMPLEMENTED,C2-1,YES,YES,YES,LOW,M,HIGH,NO,NO,YES,3,Pay-out linked to an expense record so the drawer reconciles,
3,P7-FISCAL,C3-4,Multi-component tax + X report + Z report completion,FR-FIN-022; FR-FIN-032; FR-FIN-033; FR-POS-093,BACKEND,C,PARTIAL,C2-1,YES,MAYBE,MAYBE,MEDIUM,M,MEDIUM,YES,YES,YES,3,Z report carries tax by rate and sales by category; X report is non-resetting,
3,P10-PRC,E3-1,Supplier master + supplier-item pricing,FR-PRC-010..016,BACKEND,E,NOT IMPLEMENTED,A1-1,YES,YES,YES,HIGH (new procurement schema),L,LOW,NO,NO,YES,3,Supplier CRUD with per-item pricing and lead times,
3,P10-PRC,E3-2,"Requisition, quotation, purchase order, approval",FR-PRC-020..028; FR-SEC-030,BACKEND,E,NOT IMPLEMENTED,"E3-1, C2-1 (approval runtime wiring)",YES,YES,YES,HIGH,XL,LOW,NO,NO,YES,3,PO approval banding enforced by the governance approval runtime,
3,P10-PRC,E3-3,Goods receipt + batch creation,FR-PRC-030..037,BACKEND,E,NOT IMPLEMENTED — stock_batches.goods_receipt_id is a dangling UUID,"E3-2, A1-1",YES,YES,YES,HIGH (writes through MovementsService.post),L,LOW,NO,YES,YES,3,"Receipt creates batches with correct weighted-average cost, atomically",Depends absolutely on A1-1; receiving through the defective path corrupts stock_levels
3,P10-PRC,E3-4,"Supplier invoice, three-way match, discrepancy, credit note, scoring",FR-PRC-040..046,BACKEND,E,NOT IMPLEMENTED,E3-3,YES,YES,YES,MEDIUM,L,MEDIUM,NO,NO,YES,3,Three-way match blocks payment on quantity or price divergence,
3,P12-CRM,F3-1,Customer records + consent,FR-CRM-001..009,BACKEND,F,NOT IMPLEMENTED,B1-2,YES,YES,YES,MEDIUM (new CRM schema),L,HIGH,NO,NO,YES,3,Customer CRUD with consent flags and PII classification,Interacts with FR-SEC-060..062 privacy work
3,P12-CRM,F3-2,Loyalty ledger + redemption,FR-CRM-010..017; CT-13,BACKEND,F,NOT IMPLEMENTED,"F3-1, C2-1",YES,YES,YES,MEDIUM,L,MEDIUM,NO,NO,YES,3,Double-redemption from two offline terminals is detected on sync,CT-13 cannot be satisfied until P15-OFF2
3,P12-CRM,F3-3,Promotions engine,FR-CRM-020..025; FR-POS-051,BACKEND,F,NOT IMPLEMENTED,"F3-2, C2-1",YES,YES,YES,HIGH (price resolution precedence),L,LOW,NO,NO,YES,3,Exclusive promotions resolve deterministically at price resolution,Collides with catalogue/pricing owned by C2-x
3,P13-CK,G3-1,Branch groups + cross-branch operating model,FR-BRN-001..008,BACKEND,G,PARTIAL,B1-2,YES,YES,YES,MEDIUM,M,MEDIUM,NO,NO,YES,3,Branch group scoping resolves in reporting and authorization,
3,P13-CK,G3-2,"Central kitchen production, requisition and distribution",FR-BRN-030..040,BACKEND,G,NOT IMPLEMENTED — CentralKitchen is a registry entity only,"A1-1, E3-2",YES,YES,YES,HIGH,XL,LOW,NO,NO,YES,3,CK production order depletes inputs and creates output batches atomically,
3,P13-CK,G3-3,Branch comparison and franchise support,FR-BRN-020..024; FR-BRN-050..052,BACKEND,G,NOT IMPLEMENTED,"G3-1, P14-RPT",YES,MAYBE,MAYBE,LOW,M,HIGH,NO,NO,YES,3,Consolidated branch ranking reconciles to per-branch source,
3,P14-RPT,G3-4,"Analytics substrate: read replica, rollups, SCD2 dimensions",FR-RPT-001..005; NFR-DATA-002; NFR-PERF-010; NFR-PERF-011,INFRA/DEVOPS,G,NOT IMPLEMENTED,"B2-3, B2-4",YES,YES,YES,MEDIUM,XL,LOW,NO,YES,YES,3,Consolidated report over 100 branches x 31 days within 5 s p95,
3,P14-RPT,G3-5,"Full report catalogue, drill-down, export, alerts",FR-RPT-030..034; FR-RPT-040..047; FR-RPT-043; FR-RPT-044,BACKEND,G,NOT IMPLEMENTED — exactly one report exists,G3-4,YES,MAYBE,MAYBE,LOW,XL,HIGH,NO,YES,YES,3,Drill-down to contributing transactions in <= 4 interactions; exports audited,
4,P16-INT,C4-1,Integration framework + webhooks + public API,FR-INT-001..006; IR-INT-050..054,BACKEND,C,NOT IMPLEMENTED,"B2-3, B2-5",YES,YES,YES,MEDIUM,L,MEDIUM,NO,YES,YES,4,Webhook delivery with retry and signature verification,
4,P16-INT,C4-2,"Payment terminals, aggregators, accounting, notifications, hardware",IR-INT-001..005; IR-INT-010..018; IR-INT-020..024; IR-INT-030..033; IR-INT-060..066,EXTERNAL-PROVIDER,C,NOT IMPLEMENTED,C4-1 + provider credentials,NO,YES,YES,LOW,XL,HIGH,NO,YES,YES,4,Sandbox conformance per provider,"Every one of these is externally blocked; sandbox access must be procured now, not in wave 4"
4,P16-INT,C4-3,"Country pack completion: EG, SA, AE",FR-LOC-001..038; IR-LOC-*,EXTERNAL-PROVIDER,C,"PARTIAL — signed pack architecture complete, no fiscal pack",C3-1,YES,MAYBE,MAYBE,LOW,L,MEDIUM,NO,YES,YES,4,ZATCA Phase 2 / ETA e-Receipt sandbox acceptance,Authority certification is not achievable from source code alone
4,P15-OFF2,D4-1,"Sync server: oplog ingest, batch endpoint, ack, retry",FR-OFF-030..039; NFR-PERF-020; NFR-PERF-032; CT-14,SHARED,D,NOT IMPLEMENTED,"D1-1, B2-3",YES,YES,YES,HIGH,XL,LOW,NO,YES,YES,4,"20,000-operation backlog completes with no timeout and no memory exhaustion",
4,P15-OFF2,D4-2,"Conflict detection, resolution and server-side revalidation",FR-OFF-050..054; FR-OFF-060..062; CT-03; CT-13,SHARED,D,NOT IMPLEMENTED,D4-1,YES,MAYBE,MAYBE,HIGH,XL,LOW,NO,YES,YES,4,Concurrent table edits from two terminals converge with no line lost,
4,P15-OFF2,D4-3,"HLC, local IDs, fiscal sequence integrity offline, conformance corpus",FR-OFF-020..023; FR-OFF-070..072; CT-01; CT-06; CT-10,SHARED,D,NOT IMPLEMENTED,"D4-2, C3-1",YES,MAYBE,MAYBE,HIGH,XL,LOW,NO,YES,YES,4,"72-hour offline, 500 orders: zero loss, zero duplication, fiscal sequence intact","Requires 72 hours of elapsed real time to certify — schedule before the gate, not at it"
4,P18-FE,FE-1,Frontend integration gate (contracts only — no frontend implementation owned here),FR-POS-010..012; FR-POS-080..084; FR-KDS-020..031; NFR-USA-*; NFR-PORT-001..004; CR-02; CR-07,FRONTEND-EXTERNAL,FRONTEND,n/a,every backend contract above,NO,NO,NO,LOW,M,HIGH,NO,NO,YES,4,"A published, versioned OpenAPI + event contract the external client team can build against, plus shared conformance vectors",Backend obligation is contract publication and conformance vectors only
4,P17-DR,G4-1,"Production security: encryption at rest, field encryption, KMS, secrets, scanning",FR-SEC-041..043; FR-SEC-049; FR-SEC-050; FR-SEC-052; FR-SEC-053,INFRA/DEVOPS,G,NOT IMPLEMENTED,G1-1,YES,MAYBE,MAYBE,LOW,L,HIGH,NO,YES,YES,4,Envelope encryption with annual rotation; build fails on critical findings,
4,P17-DR,G4-2,MFA + segregation of duties,FR-SEC-015..017; FR-SEC-023; FR-SEC-024,BACKEND,G,NOT IMPLEMENTED,B1-2,YES,YES,YES,MEDIUM (identity schema),L,MEDIUM,NO,YES,YES,4,MFA mandatory for security.user.manage / settings.tenant.manage / api.key.manage; SoD pairs blocked not warned,
4,P17-DR,G4-3,"Privacy, retention, DSAR, residency, impersonation",FR-SEC-060..064; FR-AUD-009; FR-AUD-010; CR-08,BACKEND,G,NOT IMPLEMENTED,B2-3,YES,YES,YES,LOW,L,HIGH,NO,YES,YES,4,Retention purge job; export/rectify/anonymise preserving financial integrity,
4,P17-DR,G4-4,"Backup, PITR, per-tenant restore, restore drills, partition lifecycle",FR-DR-002; FR-DR-003; FR-DR-020; FR-DR-021; NFR-REL-012; NFR-REL-013,INFRA/DEVOPS,G,NOT IMPLEMENTED,"G1-1, B2-3",YES,NO,NO,LOW,L,HIGH,NO,YES,YES,4,RPO <= 5 min / RTO <= 60 min demonstrated by a rehearsed restore,
4,P17-DR,G4-5,"Tenant lifecycle: signup provisioning, suspension, export, termination",FR-PLT-020..023,BACKEND,G,PARTIAL,G4-3,YES,YES,YES,MEDIUM,L,MEDIUM,NO,YES,YES,4,Two-step termination with a 30-day reversible countdown; full machine-readable export,
5,P19-FULLQA,Z-1,CT-01..CT-15 acceptance sweep,CT-01..CT-15; FR-QA-002,SHARED,G,NOT IMPLEMENTED (2 of 15 partially reachable),all waves,NO,NO,NO,LOW,XL,MEDIUM,YES,YES,YES,FINAL,All 15 critical test scenarios pass,CT-01 requires 72 hours of elapsed time; CT-09/CT-15 require external providers
5,P20-CLOSE,Z-2,Production + Full-SRS exit gate,all 733,GOVERNANCE/SPEC,G,n/a,Z-1,NO,NO,NO,LOW,M,LOW,YES,YES,YES,FINAL,Every gate criterion individually evidenced,
