requirement_id,type,module,priority,srs_section,short_text,backend_applicability,status,canonical_evidence,test_evidence,other_worktree_evidence,missing_behavior,dependency_or_blocker,governance_reference,recommended_workstream
BR-INV-002,BR,INV,,7.4.3,"Every transfer_out has exactly one transfer_in of equal quantity, linked by counterpart_movement_id",BACKEND,COMPLETE,"src/modules/inventory/movements/transfers.service.ts (dispatch/receive, counterpartMovementId)",test/inventory.e2e-spec.ts:381 (dispatch+receive balanced pair),,,,,
BR-INV-003,BR,INV,,7.4.3,Sum of movements must equal stock_levels projection; daily reconciliation job verifies and alerts on divergence,BACKEND,PARTIAL,src/modules/inventory/reconciliation/daily-reconciliation.job.ts; reconciliation.service.ts,test/inventory-scheduled-reconciliation.e2e-spec.ts,,Detection + durable platform finding + metric implemented; human-facing alert delivery (email/SMS/push) not implemented anywhere in repo — code comment self-declares this requirement PARTIAL for that reason.,,,INV-RECONCILIATION-ALERTING
BR-MNU-001,BR,MNU,,7.4.4,Recipe SHALL NOT reference itself directly or transitively; cycle rejected on save with path shown,BACKEND,COMPLETE,src/modules/production/recipe-graph.ts (findCycle/wouldCreateCycle); src/modules/production/versions/recipe-versions.service.ts:88 assertNoCycle called from createDraft/replaceLines,src/modules/production/recipe-graph.spec.ts,,,,,
BR-MNU-002,BR,MNU,,7.4.4,Publishing new recipe version SHALL NOT alter cost/consumption of completed orders; orders reference recipe_version_id,BACKEND,COMPLETE,prisma/schema.prisma:4423-4432 OrderLineRecipeVersion pins recipe version per order line per business day; prisma/schema.prisma:2107 recipeVersionId on order line,,,,,,
BR-MNU-003,BR,MNU,,7.4.4,"Recipe cost formula: sum(qty*(1+wastage%)*cost_per_unit/yield%), sub-recipe cost/yield_qty",BACKEND,COMPLETE,src/modules/production/costing/recipe-cost.ts computeRecipeCost() implements formula verbatim with exact rational arithmetic; depth limit 10 (MAX_RECIPE_DEPTH),src/modules/production/costing/recipe-cost.spec.ts,,,,,
BR-MNU-012,BR,MNU,,10.6,"Item MAY sell with incomplete/absent recipe; permit sale, record zero/partial cost, list in 'recipes requiring completion' report",BACKEND,PARTIAL,"src/modules/production/costing/recipe-cost.ts structurallyComplete/valuationComplete/gaps distinguish incomplete-recipe (sale permitted) from unvaluable-but-complete (sale refused), per extensive doc comments; src/modules/catalogue/catalogue-completeness.service.ts reports itemsWithoutActiveVariant/unpricedVariants",src/modules/production/costing/recipe-cost.spec.ts,,"The cost-gap classification (structural vs valuation) exists and correctly implements the BR-MNU-012 semantic distinction, but no dedicated 'recipes requiring completion' report/query was found — catalogue-completeness.service.ts covers variant/pricing completeness, not recipe-line completeness specifically",,,MNU-recipes-requiring-completion-report
BR-PLT-001,BR,PLT,,6.1,"Inventory held at branch/warehouse/central-kitchen, never brand/tenant level",BACKEND,COMPLETE,"prisma/schema.prisma StockItem/StockLevel scoped to branch/warehouse locationId, no brand/tenant-level stock table",test/inventory-rls.e2e-spec.ts,,,,,
BR-POS-001,BR,POS,,7.4.1,Completed order immutable; corrections via Refund,BACKEND,COMPLETE,order-state.ts:assertOrderMutable/isFinalised; orders/order-lines/discounts/post-fire-void all call assertOrderMutable before mutation,NONE found in this pass,,,,,
BR-POS-002,BR,POS,,7.4.1,Order cannot COMPLETE unless paid_total+comps >= grand_total,BACKEND,COMPLETE,"order-state.ts TRANSITIONS comment; sales-payment.service.ts settling-payment completion logic (not fully re-read this pass, referenced by orders.controller.ts:883-886 docblock)",NONE found in this pass,,Full settling-payment arithmetic not re-verified line-by-line this pass,,,
BR-POS-003,BR,POS,,7.4.1,Cannot cancel order with fired+bumped lines w/o order.cancel_after_production,BACKEND,PARTIAL,"order-state.ts comment references order.cancel_after_production permission and BR-POS-003, but NO cancel-order route exists in orders.controller.ts (grep for 'cancel' found only string literals in enums/docs)",NONE found,,No route implements order cancellation at all; the state machine has draft/open/held/parked->cancelled transitions defined but no controller endpoint reaches them,,,POS-ORDER-CANCELLATION
BR-POS-004,BR,POS,,7.4.2,"OrderLine snapshots (name/price/tax/cost/recipe_version) captured at sale, never recomputed",BACKEND,COMPLETE,"order-lines.service.ts:addLine (lines ~305-338) captures itemNameSnapshot, unitPrice, taxClassId, taxAmount, unitCostSnapshot, recipeVersionId all at insert time from resolved services, never joined later",NONE found in this pass,,,,,
FR-API-001,FR,API,M,26.2,Error responses use a stable machine-readable code in addition to human-readable title/detail,BACKEND,PARTIAL,"src/modules/sales/sales-domain-exception.filter.ts (maps domain errors to {statusCode,message,error:error.name}) — scoped to Sales module only; no application-wide Problem-Details filter found",,,"Machine-readable `error.name`-based code exists only for Sales-domain exceptions; other modules fall back to default NestJS HttpException shape, which is a code-shaped field (`error`) but not a curated stable vocabulary.",,,api-error-model-standardisation
FR-API-002,FR,API,M,26.2,Error messages localised per Accept-Language header,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No Accept-Language handling or i18n error-message layer found anywhere under src/.,,,api-error-model-standardisation
FR-API-003,FR,API,M,26.2,"Error responses SHALL NOT leak stack traces, SQL, internal hostnames, or other tenants' data",BACKEND,PARTIAL,"src/modules/sales/sales-domain-exception.filter.ts sends only {statusCode,message,error} with domain-authored messages; NestJS production mode does not leak stack traces by default; no dedicated cross-cutting sanitisation filter verified for ALL modules/exceptions (e.g. unhandled Prisma errors outside Sales) in this pass",,,No global exception filter located that guarantees this for every route/module; relies on framework defaults plus one module-scoped filter.,,,api-error-model-standardisation
FR-API-010,FR,API,M,26.4,"Interactive clients: 15-minute access tokens, 30-day rotating refresh tokens",BACKEND,COMPLETE,".env.example (JWT_ACCESS_TTL=""15m"", JWT_REFRESH_TTL=""30d""); src/config/env.validation.ts; src/modules/identity/auth/auth.service.ts (accessTtlSeconds from JWT_ACCESS_TTL); src/modules/identity/sessions/sessions.service.ts (rotate())",test/ auth/session e2e specs (not individually re-verified in this batch),,,,,
FR-API-011,FR,API,M,26.4,Machine clients authenticate via OAuth 2.0 client credentials or scoped API keys,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No OAuth2 client-credentials flow or API-key authentication mechanism found anywhere under src/modules (grep for api-key/client-credential/oauth returned no implementation files).,,,machine-client-auth
FR-API-012,FR,API,M,26.4,Tokens carry subject/tenant/scope-set/permitted-branch-set; every request authorised against permission AND scope,BACKEND,COMPLETE,"src/modules/identity/authz/scope.ts, scope-authorization.service.ts, authorization-target.resolver.ts; src/modules/identity/authz/guards/permission.guard.ts (permission+scope check per request)",src/modules/identity/authorization-coverage.spec.ts (top-level repo-wide authz coverage spec),,,,,
FR-API-013,FR,API,M,26.4,"Refresh rotation detects reuse of a consumed refresh token, revokes entire token family on detection",BACKEND,COMPLETE,src/modules/identity/sessions/sessions.service.ts (rotate(): reuseDetectedAt check; revokeChain() walks and revokes the whole lineage; AUDIT_ACTION.REFRESH_REUSE_DETECTED),,,,,,
FR-API-014,FR,API,M,26.4,"API keys displayed once at creation, stored as hash, identifiable thereafter only by non-secret prefix",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No API-key entity/service found; consistent with FR-API-011 absence (no machine-client API key auth exists at all).,FR-API-011 (no API key subsystem exists to apply this rule to),,machine-client-auth
FR-API-020,FR,API,M,26.5,Every POST/PATCH accepts Idempotency-Key header; mandatory on all financially significant endpoints,BACKEND,PARTIAL,"src/common/idempotency/idempotency.interceptor.ts, idempotent.decorator.ts, idempotency.service.ts (generic @Idempotent() decorator used across sales/treasury/workforce/kitchen controllers per earlier grep) — coverage across ""every POST/PATCH"" not exhaustively verified in this pass; sync module uses its own opId-based mechanism instead of this shared one by design (see batch-reservation.service.ts docblock)",src/common/idempotency/idempotency.interceptor.spec.ts,,Not verified that literally every financially significant POST/PATCH route carries @Idempotent() — spot-checked only; a repo-wide route audit was out of scope for this batch.,,,api-idempotency-coverage-audit
FR-API-021,FR,API,M,26.5,"System stores key, request fingerprint, and response for >=30 days",BACKEND,COMPLETE,src/common/idempotency/idempotency.service.ts; src/generated/prisma/models/IdempotencyKey.ts (Prisma model); retention constant referenced alongside SYNC_DEDUP_RETENTION_DAYS=30 pattern in protocol.constants.ts for the sync-specific path,src/common/idempotency/idempotency.interceptor.spec.ts,,Exact retention-days value for the GENERIC (non-sync) IdempotencyKey table not independently confirmed as >=30 in this pass (constant not located outside the sync module in this grep).,,,api-idempotency-coverage-audit
FR-API-022,FR,API,M,26.5,Repeated key with identical fingerprint returns stored response with Idempotent-Replay: true,BACKEND,PARTIAL,"src/common/idempotency/idempotency.interceptor.ts (replay path exists per class design); src/modules/sync/batch/batch-reservation.service.ts explicitly cites ""FR-API-022"" for its own replay path",,,The literal `Idempotent-Replay: true` response HEADER was not directly located/grepped in this pass on the generic interceptor; replay behaviour itself (returning stored response) is evidenced.,,,api-idempotency-coverage-audit
FR-API-023,FR,API,M,26.5,Repeated key with different fingerprint returns 409 Conflict (client defect),BACKEND,COMPLETE,"src/modules/sync/batch/batch-reservation.service.ts (explicit ""FR-API-023"" citation, ConflictException on fingerprint mismatch); src/common/idempotency/idempotency.service.ts (generic path, per interceptor design)",src/common/idempotency/idempotency.interceptor.spec.ts,,,,,
FR-AUD-001,FR,AUD,M,20.5,Immutable audit entry for every state-changing operation,BACKEND,PARTIAL,src/modules/governance/audit/audit.service.ts consumed by 70 service files across sales/inventory/identity/treasury/kitchen/catalogue/production/sync/organisation/workforce modules (grep count),src/modules/governance/audit/audit.service.spec.ts,,"Breadth is wide (70 call sites) but ""every state-changing operation"" was not exhaustively verified line-by-line against every mutating endpoint in this pass; treat as strong-but-not-total coverage",,,
FR-AUD-002,FR,AUD,M,20.5,Audit entry contains required fields (actor/action/entity/timestamp/etc.),BACKEND,COMPLETE,prisma AuditEntry model; src/modules/governance/audit/audit.service.ts entry construction,src/modules/governance/audit/audit.service.spec.ts,,,,,
FR-AUD-003,FR,AUD,M,20.5,"Audit entries append-only; app role has INSERT+SELECT only, not UPDATE/DELETE",BACKEND,COMPLETE,"prisma/migrations/20260812175712_governance_audit_entries:45 ""revoked AND have no RLS policy... append-only + tenant-scoped RLS for the audit trail""",test grants verified via migration SQL GRANT statements,,,,,
FR-AUD-004,FR,AUD,M,20.5,Audit entries hash-chained per tenant: hash(n)=SHA256(...),BACKEND,COMPLETE,src/modules/governance/audit/audit-hash.ts,src/modules/governance/audit/audit-hash.spec.ts,,,,,
FR-AUD-005,FR,AUD,M,20.5,"Scheduled job verifies chain integrity, raises platform alert on break",BACKEND,COMPLETE,"src/modules/governance/audit/audit-chain-verification.job.ts (registered ScheduledJobHandler, AUDIT_CHAIN_BROKEN_FINDING_CODE referenced by docs/observability/alerts/backend-api.rules.yaml)",src/modules/governance/audit/audit-verify.spec.ts,,,,,
FR-AUD-006,FR,AUD,M,20.5,"Specific action list always generates audit entries (auth, permission/role changes, price changes...)",BACKEND,PARTIAL,"Auth success/failure, permission/role changes, and pricing changes each individually traced to an AuditService call site in their respective services (auth.service.ts, membership-roles.service.ts, menu-items/price-lists services)",src/modules/governance/audit/audit.service.spec.ts,,Not every item in the SRS's full enumerated list was individually re-verified in this pass; spot-checked items are covered,,,
FR-AUD-007,FR,AUD,M,20.5,Audit log access itself is audited,BACKEND,NOT_IMPLEMENTED,src/modules/governance/audit/audit-query.service.ts (the read path) does not itself call AuditService to record the read as an audit event,NONE,,Querying/reading the audit log via audit-query.controller.ts does not appear to generate a new audit entry recording that access occurred,,,AUD-log-access-audited
FR-AUD-008,FR,AUD,M,20.5,Audit log searchable/filterable by actor/entity/action/date/branch/correlation-ID; exportable by audit.view+report.export,BACKEND,COMPLETE,"src/modules/governance/audit/audit-query.controller.ts, audit-query.dto.ts, audit.permissions.ts (AUD-R1 ratified 2026-09-03, permission codes audit.view + report.export)",NONE directly found but permission wiring is definitive per governance register citation in code comments,,,,docs/governance/GOVERNANCE_DECISION_REGISTER.md AUD-R1,
FR-AUD-009,FR,AUD,M,20.5,Audit entries retained for greater of 7 years or statutory period,BACKEND,NOT_IMPLEMENTED,"NONE — no retention-period enforcement or configuration found for audit entries specifically (append-only design means nothing is deleted, but no explicit 7-year/statutory-period policy or jurisdiction-aware override found)",NONE,,No retention configuration keyed by branch jurisdiction found,,,SEC-data-retention
FR-AUD-010,FR,AUD,M,20.5,"Support impersonation session: explicit reason, time limit, tenant-visible notice, full audit",BACKEND,DESIGNED_ONLY,"src/modules/governance/audit/audit-query.service.ts:23/:71 and audit-query.controller.ts:53 only carry an ""impersonatedBy"" READ-side field on AuditEntry; no impersonation session creation/start/end service, no reason/time-limit capture, no tenant-visible notification found",NONE,,"Only a passive schema field exists to RECORD that an entry happened during impersonation; the actual impersonation-session mechanism (start with reason+time-limit, tenant notification) is not implemented",,,AUD-impersonation-session
FR-BRN-001,FR,BRN,M,17.2,"Unlimited branches/brands per tenant, subject to plan limits",BACKEND,COMPLETE,"src/modules/organisation/branches/branches.service.ts create/list; prisma Branch/Brand models tenant-scoped, no hard cap in schema",,,,,,
FR-BRN-002,FR,BRN,M,17.2,Branch holds own inventory/drawers/roster/hours/tz/currency/tax/country pack,BACKEND,COMPLETE,"prisma/schema.prisma:738 model Branch (baseCurrency, countryPackCode, timezone fields); branch-scoped inventory, cash drawers, EmployeeBranch, operating-hours module",,,,,,
FR-BRN-003,FR,BRN,M,17.2,Branches in different countries under different country packs; consolidated multi-currency reporting,BACKEND,PARTIAL,Branch.countryPackCode per-branch (schema.prisma:191); localisation/tax country-pack scoping confirmed,,,"Per-branch country pack assignment is real; 'consolidated reporting SHALL handle multi-currency correctly' has no tenant-wide consolidated route — operational-overview.service.ts:80,524 explicit comment: 'no tenant-wide consolidated route in this slice — call this same per-branch route once per authorized branch'",,,RPT-multi-branch-consolidation
FR-BRN-004,FR,BRN,M,17.2,"Consolidated report shows original+converted amounts, rate, source, date",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No consolidated multi-currency report exists at all (see FR-BRN-003); rate/source/date display therefore not implemented,,,RPT-multi-branch-consolidation
FR-BRN-005,FR,BRN,M,17.2,Branch groups as reporting/permission-scoping dimension,BACKEND,DEFERRED_RATIFIED,prisma/schema.prisma:385-386 'BRANCH_GROUP is DEFERRED (clause 5) — not rejected: it is a MANDATORY follow-up under FR-BRN-005 once the canonical BranchGroup entity exists'; src/modules/identity/authz/scope.ts:25,,,No BranchGroup entity or scope type exists anywhere in canonical,,"docs/governance/GOVERNANCE_DECISION_REGISTER.md:241-248 'BRANCH_GROUP — DEFERRED FROM B1-2, EXPLICITLY NOT REJECTED' clause 5",BRN-branch-groups
FR-BRN-006,FR,BRN,S,17.2,Central menu/price mgmt w/ per-branch override + deviation reporting,BACKEND,PARTIAL,"src/modules/catalogue/price-lists (branch-level price-list scope, tenant|brand|branch per price-lists.service.ts:44-45); MenuBranch model (schema.prisma:1396)",,,Per-branch menu/price override capability exists structurally; no 'report which branches deviate from brand standard' query/endpoint found,,,BRN-deviation-reporting
FR-BRN-007,FR,BRN,S,17.2,"Central recipe mgmt, override-and-report pattern",BACKEND,PARTIAL,"src/modules/production/recipes/recipes.service.ts, recipe-versions.service.ts (versioned recipes)",,,Recipe versioning/branch-level linkage exists but no deviation-report equivalent found (same gap as FR-BRN-006),,,BRN-deviation-reporting
FR-BRN-008,FR,BRN,S,17.2,Branch template: copy config from existing branch to a new one,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,branches.service.ts has create/update/setStatus/reassignBrand only — no clone/template/copy-from-branch method,,,BRN-branch-template-onboarding
FR-BRN-010,FR,BRN,S,17.3,Branch scorecard: net sales/AOV/food cost%/labour cost%/prime cost%/waste%/variance/void-discount/service time,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,reporting module contains only daily-trading-report.service.ts and operational-overview.service.ts — no cross-branch scorecard/comparison endpoint,,,BRN-branch-comparison-reporting
FR-BRN-011,FR,BRN,S,17.3,Normalise comparison by seat count/floor area/labour hours/trading hours,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-010, not implemented; no seat-count/floor-area fields found on Branch either",FR-BRN-010 not implemented,,BRN-branch-comparison-reporting
FR-BRN-012,FR,BRN,S,17.3,"Rank branches on any metric, show movement vs prior period",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-010, not implemented",FR-BRN-010 not implemented,,BRN-branch-comparison-reporting
FR-BRN-013,FR,BRN,S,17.3,Highlight outliers beyond configurable std-dev from group mean,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-010, not implemented",FR-BRN-010 not implemented,,BRN-branch-comparison-reporting
FR-BRN-014,FR,BRN,C,17.3,Like-for-like comparison excluding immature branches,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-010, not implemented",FR-BRN-010 not implemented,,BRN-branch-comparison-reporting
FR-BRN-015,FR,BRN,M,17.4,Stock transfers between any two locations per FR-INV-031,BACKEND,COMPLETE,"src/modules/inventory/movements/transfers.service.ts dispatch()/receive() — transfer_out/transfer_in pair, counterpart_movement_id, discrepancy as manual_adjustment (BR-INV-002/D-INV-06)","See INV-module batch for transfer e2e test evidence (cross-referenced, not INV's canonical owner in this batch)",,,,,
FR-BRN-016,FR,BRN,S,17.4,"Transfer requests: branch requests, source approves+dispatches",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"transfers.service.ts implements direct dispatch/receive only; no TransferRequest model, no request/approval workflow found anywhere",,,BRN-transfer-requests-and-suggestions
FR-BRN-017,FR,BRN,S,17.4,Suggest transfers for near-expiry excess vs shortage elsewhere,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No transfer-suggestion logic found,,,BRN-transfer-requests-and-suggestions
FR-BRN-020,FR,BRN,S,17.5,Model central kitchens as locations consuming input/producing output stock,BACKEND,PARTIAL,"src/modules/organisation/central-kitchens/central-kitchens.service.ts (CentralKitchen entity bound 1:1 to a Warehouse, registered in org.locations)",,,"CentralKitchen exists purely as a named location entity; no consume-input/produce-output production workflow exists (see FR-BRN-021..023) — the 'locations' half is done, the 'consume/produce' half is not",,,BRN-central-kitchen-production
FR-BRN-021,FR,BRN,S,17.5,"Production order: output item, target qty, target date",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"No ProductionOrder model in prisma/schema.prisma; no production-order service; src/modules/production/* is recipe COSTING only (recipe-cost.service.ts, stock-valuation.service.ts), not a physical production/manufacturing workflow",,,BRN-central-kitchen-production
FR-BRN-022,FR,BRN,S,17.5,"Production order expands recipe, checks input availability, flags shortages",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-021, not implemented",FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-023,FR,BRN,S,17.5,"On completion: record output qty, consume input, produce output batch w/ expiry",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-021, not implemented",FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-024,FR,BRN,S,17.5,Compute production yield variance by item/batch/date/operator,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No yield-variance computation found anywhere,FR-BRN-021/023 not implemented,,BRN-central-kitchen-production
FR-BRN-025,FR,BRN,S,17.5,Production output cost = consumed input cost + overhead,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"recipe-cost.service.ts computes recipe cost for menu costing, not central-kitchen production-batch costing with overhead allocation",FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-026,FR,BRN,S,17.5,Production plan from branch demand forecast + current stock,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No production-planning logic found,FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-027,FR,BRN,S,17.5,"Distribution orders allocating produced qty to branches, transfer movements, delivery manifests",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No distribution-order model/service found,FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-028,FR,BRN,S,17.5,Allocation rules when produced qty insufficient: proportional/priority/manual,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,"Depends on FR-BRN-027, not implemented",FR-BRN-027 not implemented,,BRN-central-kitchen-production
FR-BRN-029,FR,BRN,S,17.5,Full batch traceability raw material -> production -> branch -> customer order,BACKEND,PARTIAL,"prisma/schema.prisma StockBatch, StockLevelBatchAllocation models exist for INV-side batch tracking",,,"Batch tracking exists on the inventory receipt/consumption side; the production-to-branch-to-customer-order leg cannot exist without FR-BRN-021..027 (production orders), which are not implemented",FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-030,FR,BRN,C,17.5,Internal transfer pricing central kitchen <-> branch (cost/profit centre),BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No transfer-pricing concept found,FR-BRN-021 not implemented,,BRN-central-kitchen-production
FR-BRN-035,FR,BRN,C,17.6,Franchise branches with restricted configuration authority,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,grep for franchis|royalt across src and prisma returns zero matches; no franchise concept exists at all,,,BRN-franchise-support
FR-BRN-036,FR,BRN,C,17.6,"Compute franchise royalties as % of net sales, per-franchisee reporting",BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No royalty computation exists,FR-BRN-035 not implemented,,BRN-franchise-support
FR-BRN-037,FR,BRN,C,17.6,Franchisor visibility into franchisee deviation/compliance,BACKEND,NOT_IMPLEMENTED,NONE,NONE,,No franchisor-compliance-visibility feature exists,FR-BRN-035 not implemented,,BRN-franchise-support
FR-CRM-001,FR,CRM,M,18.2,"Customer records: name, phone, email, addresses, DOB, language, tags, consent flags",BACKEND,NOT_IMPLEMENTED,NONE - no Customer Prisma model exists in prisma/schema.prisma; no src/modules/crm or src/modules/customers module exists; src/modules/catalogue/pricing/price-resolution.ts:13 states verbatim 'CRM does not exist — NOT implemented here'; src/modules/sales/contract/events.ts:229 states verbatim 'no customer/CRM/loyalty concept exists'; sales order events carry customerId: null unconditionally (events.ts:296).,NONE,,No Customer entity of any kind exists in the backend.,,,CRM-foundation
FR-CRM-002,FR,CRM,M,18.2,"Phone number primary identifier, unique per tenant, E.164",BACKEND,NOT_IMPLEMENTED,NONE - no Customer Prisma model exists in prisma/schema.prisma; no src/modules/crm or src/modules/customers module exists; src/modules/catalogue/pricing/price-resolution.ts:13 states verbatim 'CRM does not exist — NOT implemented here'; src/modules/sales/contract/events.ts:229 states verbatim 'no customer/CRM/loyalty concept exists'; sales order events carry customerId: null unconditionally (events.ts:296).,NONE,,Depends on FR-CRM-001.,FR-CRM-001 not implemented,,CRM-foundation
FR-CRM-003,FR,CRM,M,18.2,"POS customer creation with just phone+name, under 15s",SHARED_BACKEND_AND_CLIENT,NOT_IMPLEMENTED,NONE - no Customer Prisma model exists in prisma/schema.prisma; no src/modules/crm or src/modules/customers module exists; src/modules/catalogue/pricing/price-resolution.ts:13 states verbatim 'CRM does not exist — NOT implemented here'; src/modules/sales/contract/events.ts:229 states verbatim 'no customer/CRM/loyalty concept exists'; sales order events carry customerId: null unconditionally (events.ts:296).,NONE,,Depends on FR-CRM-001; no POS customer-creation endpoint exists.,FR-CRM-001 not implemented,,CRM-foundation
FR-CRM-004,FR,CRM,M,18.2,"Per-customer order history, retrievable from POS",BACKEND,NOT_IMPLEMENTED,NONE - no Customer Prisma model exists in prisma/schema.prisma; no src/modules/crm or src/modules/customers module exists; src/modules/catalogue/pricing/price-resolution.ts:13 states verbatim 'CRM does not exist — NOT implemented here'; src/modules/sales/contract/events.ts:229 states verbatim 'no customer/CRM/loyalty concept exists'; sales order events carry customerId: null unconditionally (events.ts:296).,NONE,,Depends on FR-CRM-001; orders carry customerId: null unconditionally.,FR-CRM-001 not implemented,,CRM-foundation
